,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0,362.6118000199308,361.2997871309207,362.85561490515977,362.1100399149163,-29.100740143211038,-28.557448861031208,-29.351186377448045,-27.729738361649108,-133.48259865073769,-133.98596771207227
1,-279.44439850134864,-281.2782719840312,-280.8417300399176,-280.21930660932134,-516.6539126862058,-517.4255802488805,-514.9360423692689,-517.3926467952641,-394.28866959407736,-394.95146331583953
2,122.73518746713191,124.1501417760971,124.82676173383808,122.45980077886301,424.1870734632794,424.4212535883346,425.7172931221427,424.84620860492186,355.9018285352966,356.19972521484164
3,75.47431669806642,75.03440220240229,76.56390661480954,76.81846022078501,98.04302870963686,96.78760407708042,96.60198033341227,97.71135166168233,65.88508614705425,64.66988467890599
4,636.7303415770599,637.583372985399,637.2535506626915,635.4924896126765,-164.53593209872096,-164.50370902364185,-162.29426388113458,-164.01229671571124,-343.8057433779284,-344.5866862173328
5,735.2004275904881,731.4779562762993,734.9486814833472,735.5769107658203,189.01917499292523,188.65550491576388,191.10325103551048,189.9383708201519,-45.25212320400768,-43.0434636491715
6,266.7089525039161,267.77828155204463,268.8355426790688,265.9029936862383,464.8970523312179,465.7219966610644,465.0278338455281,466.19730829722187,351.40728040292584,350.4809630178627
7,-325.424688636242,-325.6182863649559,-326.1597262611202,-325.5934028267827,-283.5868350292288,-283.7530516056113,-283.5129379210647,-281.67705290559826,-165.0480794123803,-166.91885250431568
8,-134.96146979862027,-135.65433063562813,-136.0250415470319,-135.4586205054607,-2.1358256171924586,-1.2304190272891362,-3.395203878525322,-0.7071218763454703,38.08808630903815,40.44387793135071
9,-124.47714089188007,-126.49929204953965,-127.59527616779765,-124.31679224381455,261.0257923977233,261.80592548788906,259.50694346088903,260.88611009537243,277.36747885362087,277.3482445665174
10,0.33496833328925824,1.7733841298039936,0.2508889261891369,-0.9735363316957395,441.5032719958223,442.7435666065743,442.1312533716252,442.92521589358944,410.8240070589931,409.4909386212515
11,537.8149954271822,539.1758829020795,540.9084677202484,541.5179560374504,528.3937255379601,528.1779274610485,529.2528500183032,529.3010029722141,326.6676703387563,326.354358184736
12,-384.10766189045637,-383.13213437369166,-383.3263582421614,-382.8556710394052,51.68536709794373,52.07592937160303,50.57502934596798,48.29058632836205,162.30480201290078,160.2362303990066
13,286.30424528876335,284.4606854809058,285.79390625646244,285.3155206147649,272.73613450258546,275.5367997471592,276.38727965574316,273.9632589439455,169.86868932044237,167.23536296163482
14,49.66876789027385,51.165344247091134,49.45284291949051,49.60428097459751,691.3284720329221,690.81644076521,692.1198221556166,689.8731672897289,621.6502224361694,623.9630233678295
15,176.13533640094298,174.75368874614662,175.1133720782121,173.88601285232093,290.6616945597908,292.3278789517383,292.8338028307917,291.8002001880074,220.1745008697961,217.62118619994786
16,-2.228021672183941,-2.69261098727031,-2.533692718560804,-3.5161550021038606,413.0912035762818,414.12258390243625,412.51844510169593,412.95160150569455,382.0096162228937,382.2768044751081
17,313.9491522056431,312.3442972576865,314.07289806270796,315.4405191280684,-69.8515125797396,-68.91181708231882,-68.6680056346818,-70.1551802566523,-159.24456333469846,-159.5393962738038
18,-526.3361600737894,-526.1251022154103,-527.3068939327211,-526.0520822069034,257.7691484262499,258.3801996252614,258.98077725096164,259.9133583982341,396.1979308282716,396.0609005672512
19,-113.78978353140197,-111.5080127800898,-113.7890633351386,-113.75726039675217,526.5259487131143,524.7576698256902,526.2978108012105,528.9100022596343,522.7328162728621,519.6415494573752
20,-109.05055795619295,-108.14481185732178,-110.98192597239661,-110.47769332193998,-76.6413419166228,-75.819260978122,-75.79541955295745,-75.63921719349129,-35.93265076280354,-36.663079081179866
21,312.9874535876123,313.8320112156518,312.17437753672084,312.26895780714915,-321.05304455284283,-322.0258501933384,-320.89198668423165,-321.6145267877817,-390.90461169946707,-390.8984191443806
22,-163.2798734385851,-164.8529380824794,-162.34628251635422,-165.23956856784972,141.9334151010136,144.15976513266557,143.15119625635185,142.37018414487517,183.04915039957575,184.356194064813
23,-231.43689471720103,-230.2839563422378,-229.97496902533106,-229.37885075709687,-242.693920039026,-240.88716908527743,-243.81253974621694,-242.93200497748407,-156.54067431356145,-154.5927872246979
